subbasin,month,mean_delta,std_delta,p10_delta,p90_delta,n_gcm
JOSEPH CITY INA,7,4.186083661204663,0.9623869680103293,3.1840003848407306,5.4760527386654045,14
BILL WILLIAMS,7,4.084915385944213,1.0183847590385517,3.0540471495884822,5.393309378412246,14
PRESCOTT AMA,7,4.144072533385537,1.0259316852382432,3.080965495696634,5.437852051091996,14
LAKE HAVASU,7,4.198501963013337,1.0214510863366408,3.18235659433593,5.663525090462444,14
AGUA FRIA,7,4.052989731900724,1.0327206105792668,2.9576718491715295,5.260381909269364,14
UPPER HASSAYAMPA,7,4.019380497621284,1.0212059295919624,2.948805119023181,5.225997465569494,14
TONTO CREEK,7,3.9751198878637504,1.024032046539518,2.8469195708397503,5.136836249501031,14
SALT RIVER,7,3.959305924037358,0.9950011993391169,2.889058714050949,5.059697127200874,14
PARKER,7,4.110417906798844,1.0200417688533276,3.0978919184936897,5.604933019091188,14
BUTLER VALLEY,7,4.00846201587746,1.021574626973899,2.998709980764754,5.350134791205851,14
MCMULLEN VALLEY,7,4.026226517182704,1.028417117196347,3.0031549034327814,5.381517567962973,14
PHOENIX AMA,7,3.8976994776861615,1.0485871642216102,2.8818048291476175,5.16072348454842,14
RANEGRAS PLAIN,7,4.020756177737004,1.0381467653750949,2.9832740988908784,5.448460789159447,14
MORENCI,7,4.011287365211191,0.9767650988913424,2.9226265900827912,5.0516806912757986,14
HARQUAHALA INA,7,3.9884066167226786,1.037087588982298,2.9479826987141506,5.417511111133174,14
SAFFORD,7,3.8463610463603364,1.0685344069121399,2.827358373472201,4.8412097770420965,14
LOWER GILA,7,3.8599105024622085,1.0126900325727566,2.821059554420205,5.254082514622129,14
BONITA CREEK,7,3.9132442381313512,1.0353798129249387,2.877122220982108,4.858539614461367,14
LOWER SAN PEDRO,7,3.781118173814835,1.0755671634042403,2.799804479027088,4.826639532592203,14
PINAL AMA,7,3.782660372143113,1.0764271212617105,2.772017551946406,4.949943083045776,14
DRIPPING SPRING WASH,7,3.755002129710899,1.0494792912942315,2.795483361547717,4.839223616273667,14
GILA BEND,7,3.826379191204424,1.0347464279567669,2.8258409740425146,5.184677140929662,14
DONNELLY WASH,7,3.741136917966863,1.062997384336109,2.787811786837238,4.8895623535526855,14
DUNCAN VALLEY,7,3.8774047323067653,1.0423864251312738,2.864377872326345,4.810004482308948,14
ARAVAIPA CANYON,7,3.7741890358520047,1.0497523151632844,2.8110298603304584,4.8266028571746045,14
YUMA,7,3.859102612986995,0.9623378210560435,2.807974880557329,5.199289145715213,14
TUCSON AMA,7,3.7339404010043533,1.0882838391042218,2.7423796264190536,4.809759121173418,14
WILLCOX AMA,7,3.7952617479061943,1.0701251562040905,2.7442623556283334,4.79112698215892,14
SAN SIMON WASH,7,3.6895094170313607,1.0619636933112342,2.686751419751443,4.981327216130323,14
UPPER SAN PEDRO,7,3.754827774413768,1.0765023121278579,2.7037234019389427,4.778575543294341,14
WESTERN MEXICAN DRAINAGE,7,3.705684012615258,0.9907709430920574,2.660887472236809,5.030854462190506,14
CIENEGA CREEK,7,3.7545780165834373,1.0722562240050697,2.7312564662352763,4.7986224209947705,14
DOUGLAS AMA,7,3.742127151201797,1.0866007323281441,2.6769975860121495,4.759777776314814,14
SANTA CRUZ AMA,8,3.973966495027038,0.9134672999141293,3.0715687853073943,5.02848381070691,14
SAN BERNARDINO VALLEY,8,3.9606476145654135,0.91182125246533,2.9662834003725997,5.063831812298543,14
SAN RAFAEL,8,3.9236010052636154,0.8932262447438577,2.950021906271387,4.969387857083615,14
TIGER WASH,8,4.216220855016614,0.9063827254068081,3.3615956542499528,5.116984860407878,14
VIRGIN RIVER,8,4.593943942869639,0.9922345488135611,3.8421879443972315,5.659874262019194,14
SHIVWITS PLATEAU,8,4.59008391905881,0.9650214156682133,3.7727506778607505,5.649938893936975,14
KANAB PLATEAU,8,4.595116402631469,0.955091204827521,3.752776017428218,5.6469336707477735,14
