subbasin,month,mean_delta,std_delta,p10_delta,p90_delta,n_gcm
MCMULLEN VALLEY,7,0.0807378195254883,0.2382991577411325,-0.19903858723293988,0.4084431042024554,14
PHOENIX AMA,7,0.07124252023762195,0.40509043092933184,-0.3146698277261112,0.6246553588714842,14
RANEGRAS PLAIN,7,0.10015397458307874,0.1854220736665996,-0.10341018376352543,0.3615464941447023,14
MORENCI,7,-0.24439730263051127,0.7518311708830959,-1.152480272120359,0.6587919042521077,14
HARQUAHALA INA,7,0.10673500919332758,0.21035653954595152,-0.11281020638955008,0.4496477238129631,14
SAFFORD,7,-0.16766881860622934,0.7686631417668763,-1.0881419981174585,0.5243570330048406,14
LOWER GILA,7,0.07648899828580813,0.17836294607183503,-0.10984611260266626,0.32730654247968405,14
BONITA CREEK,7,-0.2402337377533843,0.7656393967851077,-1.2945526808051073,0.6232534413603936,14
LOWER SAN PEDRO,7,-0.12651293874952213,0.8088746998620387,-0.9747216508077103,0.655462607900119,14
PINAL AMA,7,0.022977810700115404,0.46342633835432606,-0.4986735305580926,0.6288349582134305,14
DRIPPING SPRING WASH,7,-0.13759913721880518,0.6578444538032131,-0.8170461108733541,0.4866309804887449,14
GILA BEND,7,0.08230681440224995,0.342963673895294,-0.1906773256738242,0.5880476257332702,14
DONNELLY WASH,7,-0.007154102390378979,0.62824969065733,-0.7395765102635644,0.40008447679031994,14
DUNCAN VALLEY,7,-0.16646247294006947,0.7125814881784802,-0.988091018131835,0.5625156749715358,14
ARAVAIPA CANYON,7,-0.17001719145020372,0.7419179357296963,-1.0600621780769166,0.4946873365250637,14
YUMA,7,0.07155266442771961,0.13394831161812526,-0.06759043673380141,0.1911300026435353,14
TUCSON AMA,7,-0.08803044976073236,0.6318964892371614,-0.7484932172147484,0.679547744162984,14
WILLCOX AMA,7,-0.2715426246509026,1.0024251465717706,-1.4843238139150796,0.6954152000086739,14
SAN SIMON WASH,7,0.08075799286958531,0.4036317128639741,-0.24208007069923643,0.696642042671326,14
UPPER SAN PEDRO,7,-0.20218621772147835,0.9509436349746478,-1.3874961357542472,0.6074770107347259,14
WESTERN MEXICAN DRAINAGE,7,0.09649822876417777,0.1964574790223448,-0.07755867398838451,0.4161548320140574,14
CIENEGA CREEK,7,-0.3077563529586218,0.8938943114202574,-1.506530201152276,0.344769469283046,14
DOUGLAS AMA,7,-0.17147581702465312,1.033366398363475,-1.3998108897686405,0.6959846173272208,14
SANTA CRUZ AMA,8,-0.3073279790425474,0.537272357501568,-0.8747469289318729,0.5122057294031459,14
SAN BERNARDINO VALLEY,8,-0.5279195111511713,0.6861699117560905,-1.2895353888242675,0.34303807945367765,14
SAN RAFAEL,8,-0.31832479631001903,0.6997091803779987,-0.9449466821140027,0.921174894974831,14
